"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200414","NV","    Nevada ","117","3034392","1.97733","185","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200410","NV","    Nevada ","128","3034392","1.97733","304","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200429","CA","    California ","1469","39557045","1.97184","204","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200406","OH","    Ohio ","407","11689442","1.96759","94","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200423","SC","    South Carolina ","156","5084127","1.96691","34","45671","80","65.30033","0.026","Republicano","0.110","0.034"
"20200418","SC","    South Carolina ","315","5084127","1.96691","29","45671","80","65.30033","0.026","Republicano","0.110","0.034"
"20200415","SC","    South Carolina ","103","5084127","1.96691","31","45671","80","65.30033","0.026","Republicano","0.110","0.034"
"20200409","MN","    Minnesota ","88","5611179","1.96037","219","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200421","MO","    Missouri ","134","6126452","1.95872","131","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200412","IN","    Indiana ","493","6691878","1.94265","87","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200402","IN","    Indiana ","474","6691878","1.94265","122","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200501","CO","    Colorado ","526","5695564","1.93133","407","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200420","CO","    Colorado ","297","5695564","1.93133","430","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200402","CO","    Colorado ","376","5695564","1.93133","646","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200425","NC","    North Carolina ","571","10383620","1.92611","433","48207","59","82.46204","0.044","Democrata","0.110","0.034"
"20200402","FL","    Florida ","1055","21299325","1.92494","385","52329","64","153.35601","0.043","Republicano","0.130","0.032"
"20200424","GA","    Georgia ","635","10519475","1.90124","340","48642","76","70.62041","0.042","Republicano","0.130","0.036"
"20200426","IA","    Iowa ","384","3156145","1.90105","27","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200423","IA","    Iowa ","176","3156145","1.90105","31","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200414","IA","    Iowa ","189","3156145","1.90105","25","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200501","WI","    Wisconsin ","460","5813568","1.89213","56","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200423","WI","    Wisconsin ","207","5813568","1.89213","57","54018","55","41.44597","0.034","Democrata","0.050","0.052"
"20200406","RI","    Rhode Island ","160","1057315","1.89158","41","56766","141","394.81516","0.046","Democrata","0.050","0.039"
"20200403","RI","    Rhode Island ","52","1057315","1.89158","40","56766","141","394.81516","0.046","Democrata","0.050","0.039"
"20200402","RI","    Rhode Island ","91","1057315","1.89158","43","56766","141","394.81516","0.046","Democrata","0.050","0.039"
"20200401","RI","    Rhode Island ","77","1057315","1.89158","43","56766","141","394.81516","0.046","Democrata","0.050","0.039"
"20200422","MT","    Montana ","2","5611179","1.88270","7","49765","120","2.81807","0.035","Democrata","0.090","0.042"
"20200421","MT","    Montana ","4","5611179","1.88270","7","49765","120","2.81807","0.035","Democrata","0.090","0.042"
"20200418","MT","    Montana ","4","5611179","1.88270","7","49765","120","2.81807","0.035","Democrata","0.090","0.042"
"20200420","WA","    Washington ","200","7535591","1.85785","192","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200417","WA","    Washington ","330","7535591","1.85785","191","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200408","WA","    Washington ","355","7535591","1.85785","259","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200404","MD","    Maryland ","367","6042718","1.82037","233","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200425","OH","    Ohio ","402","11689442","1.79649","38","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200413","OH","    Ohio ","371","11689442","1.79649","56","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200430","MO","    Missouri ","137","6126452","1.79549","128","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200425","MO","    Missouri ","201","6126452","1.79549","111","50198","57","34.41034","0.045","Republicano","0.090","0.051"
"20200414","CA","    California ","990","39557045","1.79488","221","67256","114","97.92996","0.053","Democrata","0.070","0.045"
"20200406","IN","    Indiana ","533","6691878","1.79322","121","49128","53","72.11938","0.032","Republicano","0.080","0.032"
